Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1685469600000,1902.81000000,1909.99000000,1900.84000000,1908.02000000,10215.01230000,1685473199999,19470024.94831300,14649,4565.58460000,8702102.51562400,0
1685473200000,1908.01000000,1908.40000000,1905.00000000,1907.32000000,6812.70570000,1685476799999,12992285.75597500,12028,3423.63240000,6528776.53924600,0
1685476800000,1907.33000000,1907.40000000,1901.92000000,1903.72000000,9833.38800000,1685480399999,18730161.87426000,15627,5024.13840000,9569256.47625400,0
1685480400000,1903.72000000,1914.78000000,1902.43000000,1905.59000000,9657.80080000,1685483999999,18428987.19600600,14836,5743.13520000,10960122.11744000,0
1685484000000,1905.60000000,1905.97000000,1898.96000000,1904.40000000,5258.59420000,1685487599999,10007591.42985900,10706,2598.92990000,4945431.87126700,0
1685487600000,1904.41000000,1904.76000000,1897.35000000,1900.59000000,7697.49630000,1685491199999,14624895.45000000,12400,3288.10440000,6246789.77170900,0
1685491200000,1900.58000000,1905.27000000,1898.14000000,1904.96000000,5532.63940000,1685494799999,10519772.61268100,14904,3332.07310000,6336014.10937800,0
1685494800000,1904.97000000,1907.13000000,1902.40000000,1903.20000000,5934.03830000,1685498399999,11303774.49491500,11071,2217.73440000,4224416.58957900,0
1685498400000,1903.21000000,1903.21000000,1884.29000000,1896.00000000,19892.96790000,1685501999999,37653521.17127900,27213,9602.58950000,18172189.82214800,0
1685502000000,1895.99000000,1897.95000000,1892.81000000,1897.71000000,5046.65920000,1685505599999,9567740.92915200,11425,1980.45920000,3754812.20899100,0
1685505600000,1897.71000000,1898.53000000,1870.00000000,1874.01000000,32418.50070000,1685509199999,61120522.83571700,35398,14695.23610000,27705049.56882800,0
1685509200000,1874.01000000,1875.62000000,1859.50000000,1864.23000000,41457.98510000,1685512799999,77473983.80036000,44649,18597.87540000,34750752.26472200,0
